îNåé,è§ïi,êîó ,íËâøîÑè„,îÑè„çÇ,îÑè„å¥âø
201901,SS-D,5,860,815.1,285
201901,OT-Z,33,330,284.16,132
201901,XQ-L,41,2542,374.36,1107
201901,PF-S,34,544,194.88,204
201901,BO-R,32,480,441.75,192
201901,OU-A,28,868,130,364
201901,ZE-Q,22,572,579,220
201901,XX-I,27,432,409.92,135
201901,UJ-A,49,1078,534.85,392
201901,WT-E,27,594,572.3,216
201901,KS-L,21,336,134.64,126
201901,ZX-N,34,782,781.11,306
201901,TD-V,5,785,779.13,295
201901,PY-J,7,707,700.92,273
201901,AT-B,23,644,637.56,230
201901,HE-W,20,320,301.15,120
201901,TF-S,11,110,104.5,33
201901,LT-K,18,630,600,270
201901,DW-T,11,748,713.28,286
201901,ZW-H,46,184,197.76,92
201901,XH-K,37,148,159.74,74
201901,MA-X,41,861,842.88,328
201901,VY-N,15,870,862.29,360
201901,OJ-A,21,735,713.92,294
201901,FX-P,48,576,526.3,192
201901,GS-L,26,312,295.96,104
201901,IA-R,5,165,159.08,60
201901,OB-R,9,819,776.15,297
201901,CH-M,41,779,689.92,328
201901,VM-C,18,720,696.78,252
201901,ZC-J,13,130,131,52
201901,OO-O,27,513,504.4,189
201901,PK-O,13,429,433,156
201901,PB-P,49,735,698.74,245
201901,MQ-T,31,403,392.64,155
201901,JS-D,28,756,767,336
201901,YM-G,33,561,551.43,231
201901,EG-B,36,648,639,288
201901,MS-F,42,462,444,168
201901,ZT-Q,15,645,637,240
201901,MG-H,23,483,470.4,184
201901,WM-H,49,490,497.84,196
201901,XW-M,36,252,241,72
201901,XE-C,9,630,629,261
201901,LQ-A,41,410,405.12,164
201901,YQ-X,5,610,610,270
201901,PV-H,15,840,827.64,300
201901,ZA-A,24,144,134.4,48
201901,KH-S,21,168,177,63
201901,VV-G,19,817,767.6,304
201901,GA-C,46,782,778.14,368
201901,VQ-W,35,560,540.29,210
201901,ND-B,17,170,161.02,68
201901,PJ-S,43,215,196.98,86
201901,SV-W,32,416,416.13,192
201901,VA-A,7,525,516.46,210
201901,YP-I,6,624,627,276
201901,ZC-K,47,188,167.04,47
201901,TP-Z,47,7614,368.28,3290
201901,ZS-Z,33,198,183.15,66
201901,AI-I,50,850,851,400
201901,SE-E,9,351,340.8,144
201901,MF-K,39,858,841.5,312
201901,ZH-N,50,1200,128.64,400
201901,OT-P,18,108,109.76,36
201901,CK-I,5,625,595.65,245
201901,VQ-G,50,600,580.14,250
201901,MC-I,48,672,640.32,240
201901,DH-G,11,737,705.6,264
201901,BB-L,42,462,439.41,168
201901,WQ-X,31,217,202.73,62
201901,NT-Q,22,616,607.6,264
201901,QH-D,33,462,441.98,198
201901,MX-L,46,690,507.64,276
201901,NV-K,23,506,484.03,184
201901,RW-P,37,740,736.96,296
201901,OA-V,40,320,296.64,120
201901,ET-L,8,672,661.32,280
201901,BW-R,23,207,209.88,92
201901,SN-H,19,684,688,266
201901,PE-D,16,416,400.32,144
201901,KN-H,19,874,842.93,380
201901,FV-F,43,430,396.48,172
201901,JZ-S,45,495,478.17,180
201901,YR-U,18,648,657,252
201901,IR-W,37,1369,639,481
201901,NU-P,15,255,244.15,90
201901,HE-E,44,132,119.04,44
201901,XX-B,5,290,278.4,95
201901,BT-K,5,395,381.12,135
201901,RM-G,22,880,834.24,352
201901,QK-D,6,888,890,348
201901,NC-B,27,297,107.67,108
201901,MK-Z,45,3015,215.82,1350
201901,KE-B,23,667,628.9,253
201901,XN-B,40,520,493.05,200
201901,FI-C,40,840,829,360
201901,YZ-F,23,437,434,184
201901,DU-Q,36,216,190,72
201901,EX-W,19,2366,1940.12,899
201901,FY-O,5,1579,1515.84,600
201901,SV-H,9,2235,1922.1,782
201901,NQ-D,20,492,472.32,172
201901,QI-F,41,1573,1494.35,629
201901,AC-A,18,2297,2159.18,643
201901,YK-Q,25,2464,2390.08,788
201901,KA-G,27,1527,1297.95,519
201901,SY-A,9,2257,2121.58,677
201901,ZH-Z,39,2135,2028.25,641
201901,KC-A,50,142,120.7,43
201901,YB-H,10,2468,2295.24,740
201901,TJ-N,35,392,352.8,133
201901,MX-S,32,2230,2140.8,803
201901,OH-W,32,1548,1300.32,619
201901,TC-X,47,2365,2033.9,733
201901,JI-H,32,2126,1828.36,723
201901,YC-S,6,1855,1613.85,631
201901,GS-W,19,1190,1094.8,345
201901,UZ-N,17,633,563.37,177
201901,NV-K,50,994,954.24,268
201901,YR-T,25,2210,1989,729
201901,TZ-N,12,697,620.33,223
201901,AY-K,35,373,346.89,131
201901,GN-A,47,1066,874.12,394
201901,NG-T,31,215,189.2,86
201901,MD-D,43,1533,1441.02,521
201901,JB-Z,40,1202,1153.92,481
201901,TJ-D,29,789,710.1,308
201901,EW-T,13,1790,1503.6,591
201901,MR-N,33,822,682.26,329
201901,PS-E,38,1293,1073.19,349
201901,ZX-C,11,2059,1791.33,659
201901,BK-L,44,543,526.71,195
201901,BW-B,27,1521,1308.06,502
201901,ZF-S,21,2073,1824.24,788
201901,VI-R,14,829,688.07,323
201901,WP-B,24,2080,1934.4,541
201901,QG-G,37,1960,1705.2,745
201901,QM-Q,34,1838,1764.48,680
201901,JX-J,27,1101,1045.95,418
201901,GG-Y,22,626,582.18,219
201901,CM-N,42,569,500.72,188
201901,GO-Z,42,1202,1093.82,433
201901,BL-C,48,2139,1839.54,556
201901,TI-A,22,2358,2051.46,849
201901,RD-B,42,100,96,30
201901,QD-M,30,2145,1887.6,772
201901,LS-A,44,226,185.32,63
201901,DI-M,33,834,775.62,300
201901,FA-N,25,1323,1124.55,490
201901,WU-O,15,256,212.48,69
201901,UH-U,16,1546,1314.1,572
201901,YU-O,40,2475,2029.5,990
201901,OS-B,14,715,614.9,207
201901,KU-H,25,1410,1212.6,494
201901,WB-V,35,1920,1843.2,499
201901,QJ-Q,21,416,345.28,162
201901,CM-H,9,1935,1625.4,484
201901,CE-S,5,1078,1002.54,291
201901,AL-M,31,2403,2066.58,625
201901,BX-H,49,1943,1748.7,525
201901,OK-D,40,1763,1586.7,547
201901,VJ-V,23,1685,1482.8,640
201901,LH-F,24,525,430.5,152
201901,ST-Y,50,1220,1183.4,403
201901,MS-R,33,2423,2326.08,678
201901,QH-D,33,1580,1390.4,585
201901,XJ-K,17,968,929.28,319
201901,EX-F,22,2412,2219.04,699
201901,UM-B,36,171,152.19,50
201901,IX-B,46,588,523.32,200
201901,KJ-M,17,1605,1460.55,482
201901,JN-D,42,405,340.2,126
