îNåé,è§ïi,êîó ,íËâøîÑè„,îÑè„çÇ,îÑè„å¥âø
201810,GE-Z,21,598,568.1,198.835
201810,FE-E,7,619,612.81,214.4835
201810,EU-Q,47,536,530.64,196.3368
201810,MW-V,28,759,751.41,278.0217
201810,MU-Z,49,177,169.92,71.3664
201810,ZK-Z,27,544,544,228.48
201810,DL-M,41,628,615.44,258.4848
201810,ED-Y,11,504,483.84,203.2128
201810,BZ-N,43,255,255,102
201810,BJ-Y,23,295,295,123.9
201810,GQ-J,7,566,549.02,230.5884
201810,PC-X,29,153,153,62.73
201810,OY-G,41,787,755.52,324.8736
201810,WB-Z,25,823,814.77,317.7603
201810,MS-K,10,334,323.98,129.592
201810,NV-I,14,166,162.68,71.5792
201810,HS-B,31,93,92.07,36.828
201810,QN-R,13,496,496,173.6
201810,MR-F,15,177,168.15,75.6675
201810,ZE-C,22,224,221.76,99.792
201810,DY-H,16,310,294.5,106.02
201810,MO-O,46,586,586,205.1
201810,PF-H,30,313,309.87,108.4545
201810,BM-J,29,686,686,274.4
201810,LJ-L,49,238,238,83.3
201810,CN-P,34,600,600,222
201810,LP-Q,39,247,244.53,85.5855
201810,QH-L,16,391,379.27,166.8788
201810,CV-N,29,507,481.65,178.2105
201810,FI-G,36,155,151.9,53.165
201810,AY-B,33,711,696.78,292.6476
201810,QH-Z,48,487,477.26,181.3588
201810,JO-H,30,683,669.34,287.8162
201810,JR-V,29,232,232,104.4
201810,LL-L,14,666,659.34,276.9228
201810,TM-Q,14,203,194.88,85.7472
201810,SY-Q,44,307,291.65,122.493
201810,MB-N,26,684,663.48,291.9312
201810,AS-X,20,883,838.85,377.4825
201810,GA-K,43,849,832.02,299.5272
201810,JU-U,14,494,469.3,173.641
201810,YO-S,42,148,145.04,55.1152
201810,VV-Q,31,163,154.85,58.843
201810,CM-C,34,120,114,47.88
201810,AI-W,41,104,101.92,41.7872
201810,XH-P,47,143,137.28,50.7936
201810,AF-Q,6,344,326.8,130.72
201810,HG-B,23,268,265.32,92.862
201810,OT-Z,50,486,481.14,192.456
201810,KQ-W,30,302,298.98,131.5512
201810,HV-P,13,812,787.64,322.9324
201810,ZE-L,42,303,290.88,104.7168
201810,RA-H,25,223,216.31,95.1764
201810,MG-T,37,164,155.8,56.088
201810,CB-H,7,794,770.18,269.563
201810,RP-I,32,219,210.24,81.9936
201810,LR-X,14,824,782.8,336.604
201810,FC-G,20,887,869.26,312.9336
201810,UG-K,11,147,145.53,62.5779
201810,YO-M,42,93,88.35,38.874
201810,DB-Y,34,285,270.75,121.8375
201810,EG-H,11,698,670.08,268.032
201810,FA-U,50,702,673.92,256.0896
201810,ZO-H,23,383,383,134.05
201810,BX-S,27,650,637,248.43
201810,PG-C,41,356,345.32,120.862
201810,EP-C,36,258,255.42,102.168
201810,RN-T,35,487,467.52,182.3328
201810,NB-C,38,321,317.79,143.0055
201810,GA-K,12,227,224.73,101.1285
201810,WH-J,40,735,727.65,312.8895
201810,RG-X,7,412,395.52,154.2528
201810,GB-N,13,207,204.93,92.2185
201810,MC-Y,16,263,255.11,112.2484
201810,IL-Q,27,299,296.01,106.5636
201810,LW-U,28,616,603.68,241.472
201810,NE-T,10,383,379.17,170.6265
201810,DM-G,37,545,517.75,196.745
201810,ME-C,32,504,493.92,172.872
201810,XG-T,13,419,414.81,186.6645
201810,WT-H,39,671,657.58,263.032
201810,HI-K,27,531,520.38,197.7444
201810,TB-V,28,430,430,189.2
201810,NZ-U,37,830,796.8,294.816
201810,LN-Z,22,353,349.47,157.2615
201810,NQ-K,33,382,366.72,146.688
201810,DP-L,48,797,781.06,288.9922
201810,RM-R,48,316,312.84,118.8792
201810,AN-V,8,624,605.28,260.2704
201810,HI-G,46,622,603.34,241.336
201810,SC-W,40,473,458.81,201.8764
201810,SY-F,26,604,573.8,200.83
201810,WL-I,9,115,112.7,43.953
201810,YR-Q,28,346,339.08,152.586
201810,ZX-C,41,112,107.52,43.008
201810,ZF-R,18,394,382.18,149.0502
201810,XP-J,36,744,729.12,255.192
201810,PU-W,32,698,691.02,310.959
201810,YK-M,40,131,127.07,57.1815
201810,UY-C,46,1593,1338.12,510
201810,RN-C,17,1071,899.64,321
201810,LG-X,27,2345,2251.2,891
201810,WX-U,49,1889,1813.44,510
201810,SY-R,44,2148,1761.36,773
201810,GC-S,50,322,302.68,97
201810,SU-U,50,1818,1636.2,618
201810,MI-F,15,2268,1995.84,612
201810,EE-Q,44,2374,2279.04,831
201810,SB-J,19,2076,1930.68,519
201810,JS-K,32,1317,1211.64,342
201810,MG-Q,43,2229,2162.13,825
201810,IU-P,14,1127,1081.92,451
201810,YI-D,45,863,837.11,285
201810,NX-S,23,1966,1789.06,708
