îNåé,è§ïi,êîó ,íËâøîÑè„,îÑè„çÇ,îÑè„å¥âø
201910,LX-S,24,720,694.45,312
201910,MW-V,27,729,348.65,270
201910,EC-J,15,570,161.28,240
201910,PT-E,13,455,363.75,156
201910,LF-I,48,1200,139.65,480
201910,WY-N,39,351,354.05,156
201910,JL-L,29,1537,201.4,638
201910,CG-C,11,209,207.76,88
201910,UP-T,30,540,541.53,180
201910,WN-G,41,574,560.56,205
201910,SR-R,49,686,699,294
201910,CC-P,44,880,534.85,308
201910,AR-R,33,429,411.84,165
201910,OF-X,37,592,570.24,222
201910,FH-J,32,192,180.18,64
201910,VK-F,47,705,714.78,235
201910,ZK-J,47,893,858.45,329
201910,MU-G,15,420,396.15,165
201910,CF-F,12,816,810.81,348
201910,AC-A,26,390,380.95,156
201910,FB-B,17,170,173.46,68
201910,OA-L,46,230,215.34,92
201910,PR-B,25,575,569.39,225
201910,BZ-L,43,774,762.24,258
201910,CH-J,10,520,525,200
201910,NB-R,30,180,189,90
201910,GR-V,38,380,357.7,152
201910,LW-L,22,462,461,176
201910,ZG-A,7,231,230.67,105
201910,QI-T,50,400,381.9,150
201910,HO-E,22,748,724.59,286
201910,CK-B,48,480,451.44,192
201910,YH-H,23,782,736.25,276
201910,WC-B,39,273,260.16,117
201910,MD-O,27,756,714.4,270
201910,NA-H,16,576,551.04,224
201910,TJ-I,8,544,524.16,216
201910,HP-V,9,585,551.95,252
201910,HK-O,40,320,307.72,120
201910,JY-A,10,670,637.45,220
201910,LG-N,18,738,719.32,270
201910,MZ-G,43,559,536.58,215
201910,ZH-P,41,656,639,287
201910,PR-I,33,165,169.1,66
201910,IL-Y,47,846,825.47,376
201910,PP-N,22,902,851.2,308
201910,YS-J,20,180,177.6,60
201910,NF-Y,21,420,406.89,168
201910,HJ-K,34,612,604.66,238
201910,TP-N,10,710,696.78,260
201910,GT-C,6,516,508.62,192
201910,DK-G,38,646,626.88,266
201910,VH-A,18,756,724.85,288
201910,XE-O,15,255,254,90
201910,HX-A,48,480,484.11,192
201910,MJ-Q,31,589,581.03,217
201910,IY-Z,33,462,450.45,198
201910,HD-P,41,164,171.84,82
201910,NP-W,21,882,842.88,294
201910,RV-M,38,494,511,190
201910,NX-O,23,184,183.33,69
201910,RI-A,5,405,395.92,160
201910,ZU-L,19,893,840.75,361
201910,RF-W,46,644,415.16,230
201910,XD-E,28,252,257.05,112
201910,MR-U,25,725,706.16,275
201910,UF-O,40,800,746.7,280
201910,UE-H,9,558,535.68,243
201910,WN-M,8,136,131.52,56
201910,CK-L,46,230,221,92
201910,WX-B,38,494,475,190
201910,GY-T,14,420,405.65,154
201910,OW-S,5,395,385.09,140
201910,UX-L,16,352,347,144
201910,RA-W,44,572,568.4,220
201910,CS-I,11,143,139.59,55
201910,QL-J,36,504,497,216
201910,QN-U,13,442,439.04,182
201910,QX-L,36,864,865,324
201910,VT-W,28,448,455,168
201910,WJ-U,14,126,124.8,56
201910,QW-Q,24,288,269.8,96
201910,QX-B,16,736,730.62,256
201910,GY-Q,23,828,821.7,322
201910,LE-H,25,325,312.96,125
201910,HY-L,31,806,770.18,310
201910,TG-E,19,456,437.47,171
201910,UC-M,39,117,132.3,39
201910,TA-N,10,640,640,240
201910,DS-Y,29,783,757.54,290
201910,XY-T,39,351,347.7,156
201910,BF-E,24,96,85.5,24
201910,OS-Y,40,880,875,320
201910,TE-E,5,605,604,270
201910,QY-E,21,105,100.88,42
201910,PA-Z,50,850,837.54,350
201910,IU-L,32,704,668.33,256
201910,ND-C,39,1053,611.52,429
201910,MV-Q,28,504,494.7,196
201910,IC-C,11,846,752.94,228
