îNåé,è§ïi,êîó ,íËâøîÑè„,îÑè„çÇ,îÑè„å¥âø
202101,TS-Y,35,735,726.66,280
202101,VU-F,26,286,276.45,104
202101,SH-M,33,627,582.35,264
202101,ME-G,34,850,844,340
202101,FE-D,27,1755,158.65,783
202101,IM-V,22,880,209.28,330
202101,GI-M,17,646,637.56,255
202101,BB-M,16,768,666.27,288
202101,GD-U,33,825,832.59,330
202101,TZ-M,25,450,124.8,175
202101,DU-M,19,608,580.45,247
202101,SD-P,25,1250,672.96,450
202101,WA-E,37,1739,340.47,703
202101,XR-P,20,680,660.57,300
202101,OF-P,25,375,365.31,150
202101,IH-I,32,800,792,320
202101,RI-B,40,520,488.64,160
202101,BD-K,26,156,158.65,52
202101,PN-G,14,490,476.16,210
202101,YE-V,24,600,584.1,240
202101,VS-K,7,623,619.74,231
202101,TJ-B,33,825,804.13,363
202101,OT-Q,5,285,281.16,110
202101,TI-F,14,756,763,266
202101,FU-D,20,540,517.01,180
202101,FR-R,32,480,469.42,160
202101,QW-O,36,288,267.9,108
202101,VJ-R,45,360,327.86,135
202101,ET-A,13,351,348.88,130
202101,HG-U,17,374,356.25,136
202101,GA-M,38,760,720.71,266
202101,LX-G,43,774,753.6,301
202101,TT-M,39,390,376.2,117
202101,NS-W,14,252,245.76,112
202101,RF-R,34,816,818,306
202101,CV-F,13,221,215,78
202101,WU-U,21,294,271.7,126
202101,PA-G,47,376,361,141
202101,CW-Q,21,504,497.97,168
202101,PQ-L,8,128,128.04,56
202101,MM-Q,9,234,235,90
202101,LV-I,18,540,522.34,216
202101,LV-I,41,1230,655.38,492
202101,JC-V,16,272,258.02,96
202101,EG-O,43,215,217,86
202101,IM-J,39,234,225,78
202101,FZ-Y,47,705,677.76,235
202101,UE-Z,38,494,480,190
202101,GM-X,37,888,874,333
202101,EX-Q,22,418,397.7,176
202101,IF-Q,35,280,287,140
202101,GH-W,26,754,762,312
202101,CA-K,5,545,516.8,225
202101,MB-X,9,567,550.96,207
202101,PW-G,17,357,357.39,153
202101,EO-S,18,396,391,180
202101,BY-M,20,660,666,240
202101,ZB-W,27,756,753.39,297
202101,ML-P,39,273,271.26,117
202101,MB-F,45,495,487,180
202101,HA-J,44,660,642.14,264
202101,WK-K,48,816,798.72,336
202101,BQ-I,11,110,110.74,44
202101,YP-A,26,546,546,234
202101,MH-Q,39,858,812.16,273
202101,XI-F,50,600,576,250
202101,XF-H,30,780,755.52,330
202101,KK-Z,14,686,689,266
202101,EE-W,10,310,292.6,130
202101,MH-B,11,572,548.16,231
202101,ZU-O,49,343,354.05,147
202101,EC-N,36,792,771.26,288
202101,VX-T,26,286,275.5,104
202101,CN-X,40,760,745.93,320
202101,NJ-J,25,750,755,325
202101,MP-A,8,568,551.93,208
202101,KD-F,9,216,210.49,81
202101,FR-M,22,242,240.56,88
202101,PE-O,39,351,331.24,156
