îNåé,è§ïi,êîó ,íËâøîÑè„,îÑè„çÇ,îÑè„å¥âø
201904,GH-C,12,360,355.74,144
201904,YM-G,46,782,298,322
201904,AU-T,14,672,650.87,280
201904,WE-V,15,180,173.63,75
201904,MW-P,18,234,221.48,90
201904,HP-B,46,736,720.72,322
201904,SF-C,49,147,150.92,49
201904,WY-N,47,423,270,188
201904,AN-T,18,396,380.95,144
201904,VV-V,16,336,319.13,128
201904,JZ-G,31,217,221.48,93
201904,FQ-M,31,155,148.96,62
201904,MG-L,10,530,527,220
201904,CM-S,22,286,282,88
201904,JL-L,11,583,581.13,242
201904,HH-R,33,561,563,231
201904,ED-J,50,450,464.31,200
201904,QG-P,26,1820,319.13,806
201904,CS-H,28,896,851.52,308
201904,DA-K,21,2226,446,861
201904,QB-L,8,632,629,240
201904,AZ-M,40,320,293.76,120
201904,QA-O,6,288,283.14,102
201904,XL-F,32,800,784.08,288
201904,OA-H,15,300,297.99,135
201904,OC-W,7,238,227.05,77
201904,PJ-V,37,481,484.11,185
201904,LJ-V,31,341,345.32,155
201904,DX-D,33,825,113.05,330
201904,HI-R,35,140,148.41,70
201904,CO-J,8,208,198.85,88
201904,BQ-K,30,600,574.75,210
201904,AS-Z,16,624,615.44,256
201904,PO-T,11,418,409.64,176
201904,TW-I,44,704,649.8,220
201904,HB-D,34,850,813.2,340
201904,HN-D,13,871,868.23,351
201904,ID-E,45,630,615.36,225
201904,DG-G,17,323,319.77,136
201904,BK-C,48,624,596.6,240
201904,ZF-V,40,520,142.08,160
201904,YV-L,41,984,670.08,410
201904,DA-Z,12,852,816.96,312
201904,HM-Z,21,567,554.84,252
201904,FQ-E,44,704,691,308
201904,NS-S,44,484,471.24,176
201904,ZX-K,33,528,503.5,165
201904,NT-T,35,175,186.2,70
201904,UN-C,44,616,503.04,220
201904,DV-E,8,640,612.48,216
201904,PS-U,46,276,270.48,92
201904,LU-D,15,330,321.44,120
201904,NP-P,17,289,286.15,119
201904,ZK-U,15,195,182.4,75
201904,YU-Z,31,155,152.46,62
201904,UQ-K,25,225,211.46,75
201904,GF-T,32,800,786.06,288
201904,GH-V,10,850,842.49,300
201904,PR-C,11,891,877.14,352
201904,NC-M,27,108,117.6,54
201904,BG-U,48,624,626,240
201904,YA-V,5,220,216.58,95
201904,EJ-A,43,344,320.64,129
201904,SM-J,46,644,630.63,276
201904,OR-P,26,130,115.9,52
201904,JI-M,28,392,370.5,140
201904,HR-T,39,351,334.65,156
201904,CQ-J,29,406,392.35,145
201904,CW-H,39,429,410,156
201904,LT-W,41,656,651.42,287
201904,OL-G,27,567,547.08,243
201904,HC-X,21,546,541,210
201904,CG-C,20,380,281.16,160
201904,EL-O,43,344,322.42,129
201904,NN-C,9,396,388.08,135
201904,AH-B,10,110,104.5,40
201904,MF-Q,9,405,408,144
201904,EG-T,49,294,271.26,98
201904,XS-B,17,731,702.28,306
201904,BI-O,31,1674,821,651
201904,JR-L,26,676,670.23,286
201904,NT-R,12,816,816,348
