îNåé,è§ïi,êîó ,íËâøîÑè„,îÑè„çÇ,îÑè„å¥âø
201908,JJ-J,22,242,224.64,88
201908,YB-C,25,250,248,100
201908,OF-Q,32,544,538,192
201908,WF-P,41,164,146.52,41
201908,ID-V,14,364,359,126
201908,WQ-A,25,825,831,375
201908,PZ-Z,15,150,140.65,60
201908,ZI-A,18,684,672.21,306
201908,VL-Z,23,253,245,92
201908,SV-X,24,696,685.79,288
201908,GI-F,21,294,299.97,105
201908,IX-A,30,360,341.05,120
201908,JF-B,42,336,352.44,168
201908,LL-G,34,340,324,136
201908,ZU-Q,42,840,823.53,294
201908,ON-V,47,705,679.68,235
201908,AT-O,45,270,272.25,135
201908,SP-Q,37,629,644,259
201908,HC-J,50,700,708,300
201908,EY-N,50,450,441,150
201908,IX-U,17,646,553.87,238
201908,SO-R,10,760,734.29,310
201908,SH-Y,43,602,588.79,215
201908,VL-T,16,672,648,256
201908,TZ-C,12,636,634,240
201908,FH-Q,28,644,606.72,252
201908,TJ-H,16,736,706.56,272
201908,XQ-E,43,645,647.78,215
201908,TH-Z,25,650,639.94,275
201908,SJ-R,37,555,514.9,185
201908,BV-Q,5,890,854.4,350
201908,ME-G,38,950,698.88,380
201908,MX-M,17,391,377.15,136
201908,JC-P,50,600,584.1,200
201908,RV-A,42,672,626.88,294
201908,CQ-K,50,400,399,150
201908,PZ-D,30,450,429.12,180
201908,XM-W,31,1736,247,651
201908,OY-K,36,648,606.1,252
201908,OS-K,8,408,401.8,152
201908,UC-P,12,156,152.88,60
201908,VB-D,48,144,145.5,48
201908,SE-Z,16,336,323.95,144
201908,SL-M,40,280,296.01,120
201908,MI-A,21,525,179.52,210
201908,MI-A,31,775,737.2,310
201908,KK-B,6,300,295.96,120
201908,MT-U,7,357,357,126
201908,CA-D,16,256,247.68,96
201908,OK-R,46,506,511.56,184
201908,LJ-G,23,483,456,207
201908,XC-L,15,690,661.44,270
201908,CQ-L,8,776,763.42,280
201908,XR-Y,20,500,485.97,220
201908,RZ-B,35,805,776.64,350
201908,CA-G,14,252,243.04,84
201908,RI-G,19,741,749,266
201908,FV-S,12,732,704.64,288
201908,JX-E,44,308,288.09,88
201908,LZ-Y,34,646,626.88,272
201908,DD-W,32,384,378,160
201908,UH-Z,45,405,383.18,135
201908,NH-C,26,286,293.04,130
201908,KE-K,15,300,298.98,135
201908,JQ-D,24,648,632.64,240
201908,BD-E,7,665,630.8,252
201908,DX-H,30,120,126.72,60
201908,KO-S,5,560,536.64,230
201908,XN-Z,16,320,318,144
201908,PD-E,47,564,526.71,188
201908,HR-O,42,756,742.5,294
201908,KZ-Y,49,833,800.91,294
201908,IP-J,18,576,568.26,252
201908,PE-M,9,891,842.65,369
201908,ML-S,17,357,344.85,153
201908,XX-H,39,78,89.3,39
201908,QW-K,29,841,829,377
201908,RD-P,15,855,821.76,330
201908,AM-B,47,282,298,94
201908,HX-G,47,141,126,47
201908,IB-B,43,860,852,387
201908,NU-F,30,180,164.16,60
201908,DJ-Z,6,624,606.25,222
201908,DB-B,39,273,264.81,117
201908,TU-D,17,782,763.42,323
201908,EE-T,28,560,537.38,224
201908,VJ-V,21,819,801.64,357
201908,PZ-U,16,256,237.5,80
201908,IQ-R,20,500,485.97,200
201908,RU-L,27,243,228.34,81
201908,CC-Z,10,350,336.59,130
201908,DD-C,44,836,791.04,264
201908,BG-G,7,707,684.82,245
201908,SZ-N,10,780,741,300
201908,UR-G,12,180,173.63,72
201908,BV-D,24,696,651.7,264
201908,VU-T,8,192,190.08,80
201908,CB-W,5,510,504.9,180
201908,IU-B,35,140,123.5,35
201908,BN-T,37,1403,1346.88,379
201908,TQ-J,9,783,657.72,227
201908,FU-T,11,2172,1846.2,825
201908,NY-C,45,2269,2200.93,635
201908,WR-G,42,1885,1545.7,679
201908,OM-G,8,2111,1773.24,591
201908,TC-Z,35,2161,1966.51,540
201908,HT-M,10,567,470.61,170
201908,IS-L,39,775,666.5,240
201908,RD-M,5,582,477.24,175
201908,OP-S,35,2315,2106.65,787
201908,WM-P,36,159,138.33,59
201908,AG-V,26,2042,1776.54,633
