îNåé,è§ïi,êîó ,íËâøîÑè„,îÑè„çÇ,îÑè„å¥âø
202011,HZ-R,24,288,114.95,96
202011,BU-F,9,594,488,216
202011,HB-Z,6,606,382,234
202011,ZF-O,45,1530,544.5,630
202011,YM-G,31,527,257.45,217
202011,NC-B,48,528,492.1,192
202011,MT-U,22,1122,514.56,396
202011,RZ-B,33,759,228,330
202011,WX-Z,16,1712,721.71,736
202011,IS-M,21,273,236.55,105
202011,OJ-V,17,612,587.52,255
202011,RY-T,45,540,503.04,225
202011,UR-E,43,774,775,301
202011,UZ-L,44,792,777.14,352
202011,BS-C,25,675,631.75,275
202011,HZ-I,17,408,384.96,153
202011,WZ-Z,6,690,661.44,276
202011,MO-Y,16,560,546.11,208
202011,BI-R,13,533,523.32,208
202011,RZ-G,25,775,745.75,275
202011,NB-M,33,330,315,132
202011,GD-I,48,288,287.1,144
202011,FV-N,26,884,861.12,312
202011,EH-N,38,570,552,228
202011,BM-A,25,775,742.9,300
202011,YX-C,38,684,640.3,266
202011,WA-E,19,893,869.26,361
202011,EM-X,41,410,398,123
202011,DK-V,20,340,331.24,140
202011,EC-F,42,168,180,84
202011,BI-Z,19,342,340.06,133
202011,GD-N,30,600,602.7,240
202011,YZ-W,22,176,160.55,66
202011,WH-U,35,525,512.54,175
202011,CX-O,42,840,813.2,294
202011,LF-R,46,874,846.81,322
202011,XG-A,13,325,325.71,117
202011,YF-D,11,198,197,77
202011,GC-T,21,378,368.28,147
202011,II-T,22,330,330,132
202011,IF-B,29,232,234.74,87
202011,EL-R,13,390,368.6,143
202011,ZN-Q,37,814,775.68,296
202011,JD-C,38,570,554.68,190
202011,XJ-F,47,846,801.6,282
202011,KH-E,48,288,284,96
202011,CK-Y,18,198,193.92,72
202011,XH-O,47,376,369,141
202011,OK-M,40,240,239,120
202011,IQ-A,24,192,190.95,72
202011,KX-N,7,833,801.6,294
202011,RI-W,19,494,463.6,190
202011,AJ-N,21,861,835.2,378
202011,FA-H,26,104,104,52
202011,UP-Z,9,792,781.11,297
